id_delegacia,nome_departamento,nome_seccional,delegacia,nome_seccional_circ,nome_delegacia_circ
100104,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,02º D.P. ARARAQUARA,DEL.SEC.2º SUL,16º D.P. VILA CLEMENTINO
100105,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.POL.BORBOREMA,DEL.SEC.1º CENTRO,12º D.P. PARI
100110,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.POL.ITÁPOLIS,DEL.SEC.3º OESTE,07º D.P. LAPA
100111,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.POL.MATÃO,DEL.SEC.3º OESTE,34º D.P.  MORUMBI
100115,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.POL.RINCÃO,DEL.SEC.1º CENTRO,12º D.P. PARI
100118,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.POL.TABATINGA,DEL.SEC.1º CENTRO,12º D.P. PARI
100119,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.POL.TAQUARITINGA,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
100121,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.POL.IBITINGA,DEL.SEC.1º CENTRO,12º D.P. PARI
100122,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,03º D.P. ARARAQUARA,DEL.SEC.1º CENTRO,02º D.P. BOM RETIRO
100123,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,DEL.DEF.MUL. ARARAQUARA,DEL.SEC.SANTO ANDRÉ,03º D.P. SANTO ANDRÉ
100134,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,01º D.P. MATÃO,DEL.SEC.8º SAO MATEUS,69º D.P. TEOTONIO VILELA
100135,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.ARARAQUARA,04º D.P. ARARAQUARA,DEL.SEC.CARAPICUIBA,01º D.P. BARUERI
100205,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.BARRETOS,DEL.POL.GUAIRA,DEL.SEC.CARAPICUIBA,DEL.POL.BARUERI
100208,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.BEBEDOURO,DEL.POL.MONTE AZUL PAULISTA,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
100215,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.BEBEDOURO,DEL.POL.VIRADOURO,DEL.SEC.1º CENTRO,12º D.P. PARI
100217,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.BARRETOS,DEL.POL.ALTAIR,DEL.SEC.7º ITAQUERA,64º D.P. CID.AE CARVALHO
100221,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.BARRETOS,DEL.POL.OLIMPIA,DEL.SEC.4º NORTE,09º D.P. - CARANDIRU
100222,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.BARRETOS,01º D.P. BARRETOS,DEL.SEC.1º CENTRO,12º D.P. PARI
100306,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,DEL.POL.IGARAPAVA,DEL.SEC.1º CENTRO,78º D.P. JARDINS
100308,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,DEL.POL.ITUVERAVA,DEL.SEC.3º OESTE,14º D.P. PINHEIROS
100310,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,DEL.POL.MIGUELOPOLIS,DEL.SEC.1º CENTRO,12º D.P. PARI
100319,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,DEL.INV.GER. FRANCA,DEL.SEC.5º LESTE,21º D.P.  VILA MATILDE
100320,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,DEL.DEF.MUL. FRANCA,DEL.SEC.8º SAO MATEUS,70º D.P. VILA EMA
100321,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,01º D.P. FRANCA,DEL.SEC.GUARULHOS,08º D.P. GUARULHOS
100322,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,02º D.P. FRANCA,DEL.SEC.3º OESTE,33º D.P.  PIRITUBA
100324,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,03º D.P. FRANCA,DEL.SEC.1º CENTRO,12º D.P. PARI
100325,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.FRANCA,04º D.P. FRANCA,DEL.SEC.1º CENTRO,01º D.P. SE
100404,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,DEL.POL.BRODOWSKI,DEL.SEC.CARAPICUIBA,DEL.POL.COTIA
